,name,faction,role,link
104,Katja Suding,fdp,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/S/523980-523980
105,Michael Theurer,fdp,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/T/524076-524076
106,Stephan Thomae,fdp,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/T/524102-524102
107,Alexander Graf Lambsdorff,fdp,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/L/521462-521462
108,Christian Dürr,fdp,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/D/519160-519160
109,Frank Sitta,fdp,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/S/523704-523704
110,Wolfgang Kubicki,fdp,Bundestagsvizepräsident,https://www.bundestag.de/abgeordnete/biografien/K/521368-521368
111,Dr. Hermann Otto Solms,fdp,Ehrenvorsitzender der Fraktion,https://www.bundestag.de/abgeordnete/biografien/S/523724-523724
112,Amira Mohamed Ali,linke,Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/M/522090-522090
113,Dr. Dietmar Bartsch,linke,Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/B/bartsch_dietmar-518176
114,Caren Lay,linke,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/L/lay_caren-521512
115,Andrej Hunko,linke,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/H/hunko_andrej-520578
116,Jan Korte,linke,Erster Parlamentarischer Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/K/korte_jan-521242
117,Kersten Steinke,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/S/steinke_kersten-523864
118,Helin ,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/523730-523730
119,Evrim Sommer,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/S/523732-523732
120,Kerstin Kassner,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/K/kassner_kerstin-520872
121,Matthias W. Birkwald,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/B/birkwald_matthias_w-518432
122,Alexander Ulrich,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/U/ulrich_alexander-524216
123,Niema Movassat,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/M/movassat_niema-522136
124,Thomas Lutze,linke,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/L/lutze_thomas-521770
